Idx;t;x_pos;x_vel;y_pos;y_vel;z_pos;z_vel;laser_pwr;p_chamb;gassFlow;glassSenseVal;glassLedPwr
40;2023-08-02-07:34:58.378;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2314;28
41;2023-08-02-07:34:58.388;121.52570;0.00000;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2320;28
42;2023-08-02-07:34:58.398;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2320;28
43;2023-08-02-07:34:58.408;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2324;28
44;2023-08-02-07:34:58.418;121.52570;0.00700;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2319;28
45;2023-08-02-07:34:58.428;121.52570;0.00500;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2320;28
46;2023-08-02-07:34:58.438;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2321;28
47;2023-08-02-07:34:58.448;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2316;28
48;2023-08-02-07:34:58.458;121.52570;0.00400;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2320;28
49;2023-08-02-07:34:58.468;121.52570;0.00400;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2321;28
50;2023-08-02-07:34:58.478;121.52570;0.00300;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2320;28
51;2023-08-02-07:34:58.488;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2326;28
52;2023-08-02-07:34:58.498;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2324;28
53;2023-08-02-07:34:58.508;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2320;28
54;2023-08-02-07:34:58.518;121.52570;0.00500;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2322;28
55;2023-08-02-07:34:58.528;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2316;28
56;2023-08-02-07:34:58.538;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2314;28
