Idx;t;x_pos;x_vel;y_pos;y_vel;z_pos;z_vel;laser_pwr;p_chamb;gassFlow;glassSenseVal;glassLedPwr
0;2023-08-02-06:36:10.988;121.52560;0.00200;79.99870;79.99870;29.99600;29.99600;0.00000;974.09998;0.00000;3350;47
1;2023-08-02-06:36:10.998;121.52560;0.00100;79.99870;79.99870;29.99600;29.99600;0.00000;974.09998;0.00000;3350;47
2;2023-08-02-06:36:11.008;121.52560;0.00000;79.99870;79.99870;29.99600;29.99600;0.00000;974.09998;0.00000;3347;47
3;2023-08-02-06:36:11.018;121.52560;0.00100;79.99870;79.99870;29.99600;29.99600;0.00000;974.09998;0.00000;3347;47
4;2023-08-02-06:36:11.028;121.52560;0.00000;79.99870;79.99870;29.99600;29.99600;0.00000;974.09998;0.00000;3347;47
5;2023-08-02-06:36:11.038;121.52560;0.00200;79.99870;79.99870;29.99600;29.99600;0.00000;974.09998;0.00000;3350;47
6;2023-08-02-06:36:11.048;121.52560;0.00000;79.99870;79.99870;29.99600;29.99600;0.00000;974.29999;0.00000;3347;47
7;2023-08-02-06:36:11.058;121.52560;0.00100;79.99870;79.99870;29.99600;29.99600;0.00000;974.29999;0.00000;3350;47
8;2023-08-02-06:36:11.068;121.52560;0.00100;79.99870;79.99870;29.99600;29.99600;0.00000;974.29999;0.00000;3350;47
9;2023-08-02-06:36:11.078;121.52560;0.00000;79.99870;79.99870;29.99600;29.99600;0.00000;974.29999;0.00000;3347;47
10;2023-08-02-06:36:11.088;121.52560;0.00100;79.99870;79.99870;29.99600;29.99600;0.00000;974.20001;0.00000;3350;47
11;2023-08-02-06:36:11.098;121.52560;0.00200;79.99870;79.99870;29.99600;29.99600;0.00000;974.20001;0.00000;3352;47
12;2023-08-02-06:36:11.108;121.52560;0.00300;79.99870;79.99870;29.99600;29.99600;0.00000;974.20001;0.00000;3345;47
13;2023-08-02-06:36:11.118;121.52560;0.00200;79.99870;79.99870;29.99600;29.99600;0.00000;974.20001;0.00000;3350;47
14;2023-08-02-06:36:11.128;121.52560;0.00000;79.99870;79.99870;29.99600;29.99600;0.00000;974.29999;0.00000;3347;47
15;2023-08-02-06:36:11.138;121.52560;0.00000;79.99870;79.99870;29.99600;29.99600;0.00000;974.29999;0.00000;3345;47
16;2023-08-02-06:36:11.148;121.52560;0.00200;79.99870;79.99870;29.99600;29.99600;0.00000;974.29999;0.00000;3347;47
17;2023-08-02-06:36:11.158;121.52560;0.00100;79.99870;79.99870;29.99600;29.99600;0.00000;974.29999;0.00000;3350;47
18;2023-08-02-06:36:11.168;121.52560;0.00000;79.99870;79.99870;29.99600;29.99600;0.00000;974.09998;0.00000;3347;47
19;2023-08-02-06:36:11.178;121.52560;0.00000;79.99870;79.99870;29.99600;29.99600;0.00000;974.09998;0.00000;3350;47
20;2023-08-02-06:36:11.188;121.52560;0.00400;79.99870;79.99870;29.99600;29.99600;0.00000;974.09998;0.00000;3347;47
21;2023-08-02-06:36:11.198;121.52560;0.00200;79.99870;79.99870;29.99600;29.99600;0.00000;974.09998;0.00000;3347;47
22;2023-08-02-06:36:11.208;121.52560;0.00100;79.99870;79.99870;29.99600;29.99600;0.00000;974.09998;0.00000;3347;47
23;2023-08-02-06:36:11.218;121.52560;0.00200;79.99870;79.99870;29.99600;29.99600;0.00000;974.09998;0.00000;3347;47
24;2023-08-02-06:36:11.228;121.52560;0.00200;79.99870;79.99870;29.99600;29.99600;0.00000;974.09998;0.00000;3347;47
25;2023-08-02-06:36:11.238;121.52560;0.00100;79.99870;79.99870;29.99600;29.99600;0.00000;974.09998;0.00000;3350;47
26;2023-08-02-06:36:11.248;121.52560;0.00200;79.99870;79.99870;29.99600;29.99600;0.00000;974.09998;0.00000;3347;47
27;2023-08-02-06:36:11.258;121.52560;0.00100;79.99870;79.99870;29.99600;29.99600;0.00000;974.20001;0.00000;3350;47
28;2023-08-02-06:36:11.268;121.52560;0.00100;79.99880;79.99880;29.99600;29.99600;0.00000;974.20001;0.00000;3350;47
29;2023-08-02-06:36:11.278;121.52560;0.00200;79.99870;79.99870;29.99600;29.99600;0.00000;974.20001;0.00000;3347;47
30;2023-08-02-06:36:11.288;121.52560;0.00200;79.99870;79.99870;29.99600;29.99600;0.00000;974.20001;0.00000;3347;47
31;2023-08-02-06:36:11.298;121.52560;0.00200;79.99870;79.99870;29.99600;29.99600;0.00000;974.20001;0.00000;3350;47
32;2023-08-02-06:36:11.308;121.52560;0.00200;79.99870;79.99870;29.99600;29.99600;0.00000;974.20001;0.00000;3350;47
33;2023-08-02-06:36:11.318;121.52560;0.00200;79.99870;79.99870;29.99600;29.99600;0.00000;974.20001;0.00000;3350;47
34;2023-08-02-06:36:11.328;121.52560;0.00200;79.99870;79.99870;29.99600;29.99600;0.00000;974.20001;0.00000;3350;47
35;2023-08-02-06:36:11.338;121.52560;0.00200;79.99870;79.99870;29.99600;29.99600;0.00000;974.09998;0.00000;3350;47
36;2023-08-02-06:36:11.348;121.52560;0.00200;79.99870;79.99870;29.99600;29.99600;0.00000;974.09998;0.00000;3347;47
37;2023-08-02-06:36:11.358;121.52560;0.00300;79.99870;79.99870;29.99600;29.99600;0.00000;974.09998;0.00000;3347;47
